date,open,high,low,close
2023-01-01,16500,16700,16400,16600
2023-02-01,16600,24000,16500,23100
2023-03-01,23100,29000,19500,28400
2023-04-01,28400,31000,27000,29200
2023-05-01,29200,29800,26500,27200
2023-06-01,27200,31500,25000,30400
2023-07-01,30400,31800,28800,29200
2023-08-01,29200,30100,25600,25900
2023-09-01,25900,27500,24900,26900
2023-10-01,26900,35500,26700,34600
2023-11-01,34600,38400,34100,37700
2023-12-01,37700,44700,37600,42200
2024-01-01,42200,49000,38500,42600
2024-02-01,42600,64000,42200,61100
2024-03-01,61100,73800,59000,71300
2024-04-01,71300,72700,59100,60600
2024-05-01,60600,71900,56500,67500
2024-06-01,67500,71900,58400,62800
2024-07-01,62800,70000,53500,64600
2024-08-01,64600,65600,49000,58900
2024-09-01,58900,66500,52500,63300
2024-10-01,63300,73600,59800,70200
2024-11-01,70200,99800,66800,96400
2024-12-01,96400,108300,82200,93400
